code	english	definition	translation
4855	lithosphere	"The solid portion of the Earth, as compared with the atmosphere and the hydrosphere."	litosfera
4857	litter	"Straw, hay or similar material used as bedding by animals."	örpək
4858	littoral	The intertidal zone of the seashore.	dəniz kənarı
4862	livestock	"Cattle, horses, and similar animals kept for domestic use especially on a farm."	ev heyvanları 
4863	livestock breeding	The raising of livestock by crossing different varieties to obtain new varieties with desired characteristics.	heyvandarlıq
4864	livestock farming	"Breeding of cattle, horses and similar animals."	fermalarda heyvandarlıq
4866	living condition	An element or characteristic of a habitation considered in light of its ability to sustain and promote the health and general well-being of occupants.	məişət şəraiti
4867	living marine resource		dənizin bioloji resursları
4868	living space	"Any room, structure or area used as a residence and associated with subsistence activities, including sleeping, relaxing or eating."	mənzil sahəsi
4871	lizard	"Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms."	kərtənkələ
4873	load bearing capacity	The maximum load that a system can support before failing.	icazə verilən yüklənmə
4879	local authority	"The power of a government agency or its administrators to administer and implement laws and government policies for a city, town or small district."	yerli hakimiyyət
4884	local finance	"The theory and practice of all public money matters pertaining to city, town or small district governments."	yerli səviyyədə maliyyələşdirmə
4885	local government policy	"Any course of action adopted and pursued by a ruling political authority or system, which determines the affairs for a city, town, county or regional area."	yerli idarəetmə orqanlarının siyasəti
4886	teleheating	"The supply of heat, either in the form of steam or hot water, from a central source to a group of buildings."	istilik təchizatı
4888	local building material		yerli tikinti materialı
4889	local passenger service	Passenger transport system for a limited local area.	yerli sərnişin nəqliyyatı
4891	local traffic	"Traffic moving within a city, town, or area and subject to frequent stops, as distinguished from long distance traffic."	yerli nəqliyyat
4893	location of industries	The particular place that seems apt for the installation of a new plant; the choice of the site depends on a number of economic and environmental factors.	müəssisələrin yerləşməsi
4897	locomotive	"A self -propelled engine driven by steam, electricity or diesel power and used for drawing trains along railway tracks."	lokomotiv
4902	long-distance traffic	"Traffic moving over extended areas, great distances and usually not subject to frequent stops."	uzaq mənzilli nəqliyyatın hərəkəti
4903	long-distance transport	"The conveyance of materials or commodities over land, water or through air in which a great distance is covered."	uzaq mənzilli nəqliyyat
4906	long-term effect	Effects which will last long after the cause has ceased.	uzunmüddətli təsir
4907	long-term effect of pollutants		çirkləndirici maddələrin uzunmüddətli təsiri
4908	long-term experiment	"1) Experiment lasting for a relatively long period of time.
2) Experiment whose results become effective after a long period of time."	uzunmüddətli eksperiment
4909	long-term forecasting	"The act or process of predicting and calculating the likely conditions or occurrences for an extended and future point in time, often involving the study and analysis of pertinent data."	uzunmüddətli proqnozlaşdırma
4911	long-term trend	"The prevailing tendency or general direction expected for some observed value over a lengthy and extended period of time, often determined by studying and analyzing statistical data."	uzunmüddətli tendensiya
4913	lorry	"A large motor vehicle designed to carry heavy loads, especially one with a flat platform."	yük avtomobili
4914	loss	The result of a business operation where overhead costs are greater than the receipts or income.	ziyan
4916	loss of biotope	Destruction of biotopes produced by environmental degradation which in turn is caused by air- or water-borne pollution.	biotopun itirilməsi
4917	loudness	"The magnitude of the physiological sensation produced by a sound, which varies directly with the physical intensity of sound but also depends on frequency of sound and waveform."	səs yüksəkliyi 
4918	low-cost housing	"Residences built at minimal expense and designed to keep the rental rate or price of purchase affordable for persons with limited means, usually determined by an annual income level set below the local median."	aşağı xərcli mənzil tikintisi
4920	Lower House	"The body of a bicameral legislature composed of representatives elected by the general populace and organized into electorates or districts, each comprising an equal number of citizens."	Aşağı Palata
4921	lower risk species  (IUCN)	"Animals, birds, fish, plants or other living organisms that have been deemed as not being in danger of extinction."	məhv olma təhlükəsi ilə üzləşməyən növlər
4922	low flow	Phase of lowest level of a water course.	minimal çay axıntısı
4929	low-level flight	Flying at low altitude.	aşağı yüksəklikdə uçuş
4931	low-level technology	Any relatively unsophisticated technical equipment or method with an amplitude or functionality below what is available in a similar or comparable system.	aşağı səviyyəli texnologiya
4934	lubricant	A substance used to reduce friction between parts or objects in relative motion.	"yağ, lubrikant"
4937	luminosity	The functional relationship between stellar magnitude and the number and distribution of stars of each magnitude interval. Also known as relative luminosity factor.	işıqlandırma
4942	lye	The alkaline solution that is obtained from the leaching of wood ashes.	qələvi məhlulu
4945	lymphatic system	"A system of vessels and nodes conveying lymph in the vertebrate body, beginning with capillaries in tissue spaces and eventually forming the thoracic ducts which empty in the subclavian veins."	limfa sistemi
4948	lysimetry	The measurement of the water percolating through soils and the determination of the materials dissolved by the water.	lizimetriya
4952	machine manufacture	"The making or production of mechanical apparatuses used for commercial or industrial purposes, such as engines and turbines, elevators and conveying equipment, computers and office equipment, and hoists, cranes and industrial trucks."	maşın və mexanizmlərin istehsalı
4956	macroeconomic goal	"An aim or objective pertaining to the production, distribution and use of income, wealth and commodities in a country, region or other large area, typically concerned with governmental fiscal and monetary policy as it affects employment, consumption, investment and growth levels."	makroiqtisadi məqsəd
4957	macroeconomics	"Modern economic analysis that is concerned with data inaggregate as opposed to individual form such as national income, consumption and investment."	makroiqtisadiyyat
4964	magnetic tape	"A plastic, paper, or metal tape that is coated or impregnated with magnetizable iron oxide particles, used in magnetic recording."	maqnit lenti
4965	magnetism	"A class of physical phenomena associated with moving electricity, including the mutual mechanical forces among magnets and electric currents."	maqnetizm
4967	mailing list	A series of addresses or e-mail addresses to which solicited or unsolicited mass mailings can be sent.	məlumatın paylanması üçün siyahı
4969	maintenance of environment	No definition needed.	ətraf mühitin qorunması
4971	major accident	"An unexpected occurrence, failure or loss beyond normal or specified levels with the potential for harming human life, property or the environment."	iri qəza
4974	malaria	"A group of human febrile diseases with a chronic relapsing course caused by hemosporidian blood parasites of the genus Plasmodium, transmitted by the bite of Anopheles mosquito."	malyariya
4977	malformation	"Permanent structural change that may adversely affect survival, development or function."	inkişafda qüsur
4979	malnutrition	"Defective nutrition due to inadequate intake of nutrients or to their faulty digestion, assimilation or metabolism."	zəif qidalanma
4982	mammal	"Any animal of the Mammalia, a large class of warm-blooded vertebrates having mammary glands in the female, a thoracic diaphragm, and a four-chambered heart. The class includes the whales, carnivores, rodents, bats, primates, etc."	məməli
4984	man (society)	A member of the human race.	insan (cəmiyyət)
4985	management	"Government, control, superintendence, physical or manual handling or guidance; act of managing by direction or regulation, or administration, as management of family, or of household, etc."	idarəetmə
4987	management contract	A legal agreement between two or more parties of employers and workers that outlines the administrative or supervisory work that is expected in exchange for certain payments and working conditions.	idarəetmə müqaviləsi
4988	management of natural resources	"Planned use of natural resources, in particular of non-renewable resources, in accordance with principles that assure their optimum long-term economic and social benefits."	təbii sərvətlərin idarə olunması
4990	management plan	A program of action designed to reach a given set of objectives.	idarəetmə planı
4994	mandate	"A command or authorization to act in a particular way given by an administrator to a subordinate, a court to a lower court or an electorate to its representative."	mandat
4998	mangrove	"Plant communities and trees that inhabit tidal swamps, muddy silt, and sand banks at the mouths of rivers and other low-lying areas which are regularly inundated by the sea, but which are protected from strong waves and currents. Mangroves are the only woody species that will grow where the land is periodically flooded with sea water; individual species have adapted themselves to different tidal levels, to various degrees of salinity, and to the nature of the mud or soil. Mangrove swamps and thickets support hundreds of terrestrial, marine, and amphibian species; have a special role in supporting estuarine fisheries; provide shelter, refuge and food for many forms of wildlife."	manqrov meşəsi
4999	mangrove swamp	"A wet, spongy area of land in tropical climates and along coastal regions that is dominated by mangrove trees and shrubs, particularly red mangroves (Rhizophora), black mangroves (Avicennia) and white mangroves (Laguncularia)."	manqrov bataqlığı
5000	man-made climate change	Man-made climate changes may be due to the greenhouse effect and other human activities. A change in albedo of the land brought about by desertification and deforestation affects the amount of solar energy absorbed at the earth's surface. Man-made aerosols produced from the sulphur released from power stations can modify clouds. Changes in ozone levels in the stratosphere due to CFCs may influence climate.	insan fəaliyyəti nəticəsində iqlim dəyişikliyi
5003	man-nature relationship		insan-təbiət qarşılıqlı əlaqəsi
5004	manpower	"1) The power generated by a man working.
2) The number of people available for work, service, etc."	işçi qüvvəsi
5005	manufacturing activity	"Activities connected with the processing of raw material into a finished product, especially by means of a large-scale industrial operation."	istehsal fəaliyyəti
5006	manufacturing trade	"The process or act of exchanging, buying or selling any manufactured product, or the raw materials for any manufacturing process."	sənaye malları və sənaye təyinatlı mallarla ticarət
5007	manure	Animal excreta collected from stables and barnyards with or without litter; used to enrich the soil.	peyin
5009	manure production	No definition needed.	peyin istehsalı
5011	map	"A representation, normally on a flat medium, that displays the physical and political features of a surface area of the earth, showing them in their respective forms, sizes and relationships according to some convention of representation."	xəritə
5013	mapping	The process of making a map of an area; especially the field work necessary for the production of a map.	kartoqrafiya
5014	mapping of lichens	"Maps of lichens distribution indicating air quality. Fruticose lichens (with branched structures well above the surface) are more susceptible to SO2 damage than foliose lichens (whose leaflike thallus lies nearly flat on surface) and both in turn are more susceptible than crustose lichens (which embed their tissue in the cracks of bark, soil, or rocks). The use of morphological lichen types as indicators of air pollution concentrations is well developed."	şibyələrin xəritəsinin tərtib olunması
5018	marble	Metamorphic rock composed of recrystallized calcite or dolomite.	mərmər
5023	marginal land	Low quality land the value of whose production barely covers its cultivation costs.	"marginal torpaq, dəyərsiz torpaq"
5024	mariculture	"Cultivation of marine organisms in their natural habitats, usually for commercial purposes."	dəniz bitkisi
5025	marina	"A small port that is used for pleasure rather than trade, often with hotels, restaurants and bars."	qayıqlar üçün liman
5027	marine biology	A branch of biology that deals with those living organisms which inhabit the sea.	dəniz biologiyası
5029	marine conservation area	"Any section of a sea or ocean designated for special protection, often to prevent or reduce harm to its wildlife and ecosystems."	mühafizə olunan dəniz zonası
5030	marine ecology	An integrative science that studies the basic structural and functional relationships within and among living populations and their physical-chemical environments in marine ecosystems. Marine ecology focuses on specific organisms as well as on particular environments or physical settings.	dənizin ekologiyası
5031	marine ecosystem	"Any marine environment, from pond to ocean, in which plants and animals interact with the chemical and physical features of the environment."	dənizin ekosistemi
5032	marine engineering	"The design, construction, installation, operation, and maintenance of main power plants, as well as the associated auxiliary machinery and equipment, for the propulsion of ships."	gəmilər üçün elektrik avadanlığının istehsalı
5033	marine environment	"Marine environments include estuaries, coastal marine and nearshore zones, and open-ocean-deep-sea regions."	dənizin ekologiyası
5034	marine fauna	Animals which live in the sea.	dəniz faunası
5035	marine fishery	"The harvest of animals and plants from the ocean to provide food and recreation for people, food for animals, and a variety of organic materials for industry."	dənizdə balıqçılıq
5038	marine geology	"That aspect of the study of the ocean that deals specifically with the ocean floor and the ocean-continent border, including submarine relief features, the geochemistry and petrology of the sediments and rocks of the ocean bottom and the influence of seawater and waves on the ocean bottom and its materials."	dəniz geologiyası
5042	marine monitoring	"The assessment of marine pollution by an integrated chemical, ecological and toxicological survey."	dənizin monitorinqi
5043	marine organism	Organisms which live in sea water.	dəniz orqanizmi
5044	marine pollution	"Any detrimental alteration of the marine environment caused by the intentional or accidental release of dangerous or toxic substances, such as industrial, commercial and urban waste water."	dənizin çirklənməsi
5046	marine reserve	Sea area where marine wildlife is protected.	dəniz qoruğu
5048	marine resources conservation		dəniz resurslarının qorunması
5049	marine sediment	"Solid fragmental material, originated from weathering of rocks, that has settled down from a state of suspension in the water."	dəniz çöküntüsü
5051	maritime law	"That system of law which particularly relates to marine commerce and navigation, to business transacted at sea or relating to navigation, to ships and shipping, to seamen, to the transportation of persons and property by sea, and to marine affairs generally."	dəniz hüququ
5052	maritime navigation	"Travelling on the sea by means of boats, ships, etc."	dəniz naviqasiyası
5055	maritime transport	Transportation of goods or persons by means of ships travelling on the sea.	dəniz nəqliyyatı
5056	marker	"1) Small amount of an easily detected substance that can be used to follow and quantify the flow of materials or movement of organisms not otherwise visible or detectable by ordinary means.
2) An isotope of an element, a small amount of which may be incorporated into a sample of material in order to follow the course of that element through a chemical, biological, or physical process, and thus also follow the larger sample. The tracer may be radioactive, in which case observations are made by measuring the radioactivity."	"indikator, marker"
5057	tracer	A minute quantity of radioactive isotope used in medicine or biology to study the chemical changes within living tissues.	işarələnmiş atom
5058	market	Place of commercial activity in which articles are bought and sold. Also purchase and sale. In a limited sense market is the range of bid and asked prices reported by brokers making the market in over-the-counter securities. Also the demand for any particular article.	bazar
5061	market economy	"A mixed economy that relies heavily on markets to answer the three basic questions of allocation, but with a modest amount of government involvement. While it is commonly termed capitalism, market-oriented economy is much more descriptive of how the economy is structured."	bazar iqtisadiyyatı
5062	market form	The organizational form or structure of the trade or traffic of a particular commodity.	bazarın təşkili
5064	marketing	"A related group of business activities whose purpose is to satisfy the demands for goods and services of consumers, businesses and government. The marketing process includes estimating the demand, producing the product, pricing the product to satisfy profit criteria, and promoting and distributing the product."	marketinq
5068	market research	"The systematic gathering, recording, computing, and analysing of data about problems relating to the sale and distribution of goods and services for certain time periods."	bazarın tədqiqi
5076	marsupial	Type of Australian mammal with a pouch in which the young are carried. Marsupials give birth to young at a much earlier stage of development than other mammals so that the young need to be protected in the mother's pouch for some months until they become able to look after themselves.	kisəlilər
5079	mass media	"The means of communication that reach large numbers of people, such as television, newspapers, magazines and radio."	kütləvi informasiya vasitələri
5080	mass recreation	"A pastime, diversion, exercise or other means of enjoyment and relaxation that is shared with or performed by a large number of people."	kütləvi istirahət
5081	separation	"The separation of one substance from another when they are intimately mixed. For example the removal of oil from water, or gas from oil or oil from gas, etc."	separasiya
5083	mass transport (physics)	The movement of matter in a medium.	kütlənin hərəkəti (fizika)
5086	material	The substance of which a product is made or composed.	material
5088	balance of matter	A calculation to inventory material inputs versus outputs in a process system.	materiyanın tarazlığı
5090	material life cycle	"All the stages involved in the manufacturing, distribution and retail, use and re-use and maintenance, recycling and waste management of materials."	materialın həyat dövrü
5093	materials science	"The study of the nature, behaviour, and use of materials applied to science and technology."	materialşünaslıq
5094	testing of materials	"The complex of tests performed in order to ascertain the characteristics and behaviour of materials; they are classified in physical and chemical tests, mechanical tests and technological tests."	materialların sınaqdan keçirilməsi
5097	mathematical analysis	"The branch of mathematics most explicitly concerned with the limit process or the concept of convergence; includes the theories of differentiation, integration and measure, infinite series, and analytic functions."	riyazi analiz
5099	mathematical method	No definition needed.	riyazi metod
5107	maximum admissible concentration	The maximum exposure to a physical or chemical agent allowed in an 8-hour work day to prevent disease or injury.	maksimum icazə verilən konsentrasiya
5108	maximum immission concentration	"The maximum concentration of air polluting substances in the free environment whose impact when of specified duration and frequency is not objectionable to man, fauna and flora."	immissiyanın maksimum konsentrasiyası
5110	meadow	"Strictly a term for a field of permanent grass used for hay, but also applied to rich, waterside grazing areas that are not suitable for arable cultivation."	çəmənlik
5116	transportation mean	Vehicles used for transferring people or goods from one place to another.	nəqliyyat vasitəsi
5119	measuring	The ability of the analytical method or protocol to quantify as well as identify the presence of the substance in question.	ölçmə
5122	measuring method	No definition needed.	ölçmə metodu
5123	measuring programme	No definition needed.	ölçmə proqramı
5124	meat	"The edible flesh of animals, especially that of mammals as opposed to that of fish or a nut."	ətraf mühitin qorunması
5128	mechanical engineering	"The branch of engineering concerned with the design, construction, and operation of machines."	maşınqayırma
5135	medical science	The science and art of treating and healing.	tibb elmi
5137	discarded medicinal drug		atılmış tibbi preparat
5138	medicinal plant	Plants having therapeutic properties.	dərman bitkisi
5144	medicine (practice)	The science and art of treating and healing.	"tibb, təbabət"
5145	Mediterranean Area	"The collective islands and countries of the inland sea between Europe, Africa and Asia that is linked to the Atlantic Ocean at its western end by the Strait of Gibraltar and includes the Tyrrhenian, Adriatic, Aegean and Ionian seas."	Aralıq dənizi regionu
5147	Mediterranean wood	"A plant formation found in the Mediterranean area comprising mainly lowgrowing, xerophilous evergreen trees and shrubs. It results mainly from the deterioration of the original vegetation by grazing and burning."	Aralıq dənizi meşəsi
5148	melting	A change of the state of a substance from the solid phase to the liquid phase. Also known as fusion.	ərimə
5150	membrane	"A thin tissue that encloses or lines biological cells, organs, or other structures. It consists of a double layer of lipids with protein molecules between the two layers. Membranes are permeable to water and fat-soluble substances but not to such polar molecules as sugars."	membran
5152	mental effect		əqli fəaliyyətə təsir
5154	mercury	"A heavy silvery-white toxic liquid metallic element occurring principally in cinnabar: used in thermometers, barometers, mercury-vapour lamps, and dental amalgams."	civə
5155	mercury contamination	"The presence and release into the air, water and soil of mercury, a naturally occurring heavy metal element, by both natural occurrences such as vaporization and human activities such as burning coal, mining and smelting."	civə ilə çirklənmə
5161	metabolism	"All the chemical reactions that take place in a living organism, comprising both anabolism and catabolism. Basal metabolism is the energy exchange of an animal at rest. Catabolism is the synthesis of complex molecules from simpler ones. Catabolism is the breaking down by organisms of complex molecules into simpler ones with the liberation of energy."	metabolizm
5163	metabolism of pesticides	"The sum of chemical reactions, including both synthesis and breakdown, that occurs in substances or mixtures intended to prevent, destroy or mitigate pests that are directly or indirectly detrimental to harvest crops and other humans interests."	perstisidlərin metabolizmi
5165	metabolite	A product of intermediary metabolism.	metabolit
5167	metainformation	"Data assembled to describe or define another body of data, a document or any information element."	metainformasiya
5169	metal finishing	"A process in which a chemical or some other substance is applied to metals as a way to clean, protect, alter or modify appearance or physical properties, especially surface properties."	metal emalı
5171	metallic mineral	"Minerals containing metals, such as bauxite, pyrite, etc."	metaltərkibli mineral
5175	metallurgical industry	"Industry concerned with the extraction, refining, alloying and fabrication of metals."	metallurgiya
5178	metal oxide	Any binary compound in which oxygen is combined with one or more metal atoms.	metal oksidi
5179	metal plating	"Forming a thin, adherent layer of metal on an object."	galvanotexnika
5180	metal product	No definition needed.	metal məhsulu
5181	metal products industry	"Industry related with the primary metal processing and fabricated metal products manufacturing. The most important end uses of the products of the metals industries are automobiles, machinery, appliances, electrical equipment, structures, furniture, and containers."	metal məmulatların istehsalı
5184	metal	"An opaque crystalline material usually of high strength with good electrical and thermal conductivities, ductility and reflectivity."	metal
5186	metal smelting	A metallurgical process in which ore mixtures are heated above melting point to extract or yield a crude metal.	metalın əridilməsi 
5187	metal working		metal emalı
5193	meteorological disaster	"Violent, sudden and destructive change to the environment related to, produced by, or affecting the earth's atmosphere, especially the weather-forming processes."	atmosfer prosesləri ilə bağlı təbii fəlakət
5194	meteorological forecasting	"A branch of science that studies the dynamics of the atmosphere and the direct effects of the atmosphere upon the Earth's surface, oceans and inhabitants, focusing particularly on weather and weather conditions."	meteoroloji proqnoz
5195	meteorological parameter	"Variables, such as pressure, temperature, wind strength, humidity, etc. from which conclusions as to the forthcoming weather are drawn."	metereoloji parametr
5196	meteorological phenomenon	"Phenomena which occur in the troposphere and stratosphere, such as precipitations, wind, temperature, etc."	meteoroloji fenomen
5197	meteorology	The science concerned with the atmosphere and its phenomena.	meteorologiya
5199	methane	"A colourless, odourless, and tasteless gas, lighter than air and reacting violently with chlorine and bromine in sunlight, a chief component of natural gas; used as a source of methanol, acetylene, and carbon monoxide. Also known as methyl hydride."	metan
5203	methodology	The system of methods and principles used in a particular discipline.	metodologiya
5210	metropolis	"A term applied loosely to any large city, but specifically to that city in a country which is the seat of government, of ecclesiastical authority, or of commercial activity."	metropoliya
5215	microbial resource	"Any available source of supply derived from microbes, which would be used for beneficial purposes, such as for the production of food substances and drugs."	mikrob resursu
5216	microbiological analysis	"Analysis for the identification of viruses, bacteria, fungi and parasites."	mikrobioloji analiz
5218	microbiology	"The science and study of microorganisms, including protozoans, algae, fungi, bacteria, viruses, and rickettsiae."	mikrobiologiya
5219	microclimate	"The local, rather uniform climate of a specific place or habitat, compared with the climate of the entire area of which it is a part."	mikroiqlim
5220	microclimate effect		mikroiqlim effekti
5221	microclimatology	"The study of a microclimate, including the study of profiles of temperature, moisture and wind in the lowest stratum of air, the effects of the vegetation and of shelterbelts, and the modifying effects of towns and buildings."	"mikroklimatologiya, mikroiqlimşünaslıq"
5222	microcomputer	"A microprocessor combined with input/output interface devices, some type of external memory, and the other elements required to form a working computer system; it is smaller, lower in cost, and usually slower than a minicomputer."	mikrokompüter
5224	microecosystem	"A small-scale, simplified, experimental ecosystem, laboratory- or field- based, which may be: a) derived directly from nature (e.g. when samples of pond water are maintained subsequently by the input of artificial light and gas-exchange); or b) built up from axenic cultures (a culture of an organism that consists of one type of organism only, i.e. that is free from any contaminating organism) until the required conditions of organisms and environment are achieved. Also known as microcosm."	mikroekosistem
5225	microelectronics	The technology of constructing circuits and devices in extremely small packages by various techniques. Also known as microminiaturization; microsystem electronics.	mikroelektronika
5226	microfiltration	The separation or removal from a liquid of particulates and microorganisms in the size range of 0.1 to 0.2 microns in diameter.	mikrofiltrasiya
5228	micro-organism	"A microscopic organism, including bacteria, protozoans, yeast, viruses, and algae."	mikrooqranizm
5229	micropollutant	Pollutant which exists in very small traces in water.	mikroçirkləndirici maddə
5230	microscopy	The interpretative application of microscope magnification to the study of materials that cannot be properly seen by the unaided eye.	mikroskopiya
5231	microwave	"An electromagnetic wave which has a wavelength between about 0.3 and 30 centimeters, corresponding to frequencies of 1-100 gigahertz; however there are no sharp boundaries between microwaves and infrared and radio waves."	mikrolif
5234	migrant labour	"Temporary employment performed by persons who move from place to place, such as agricultural workers following crop seasons."	miqrasiya edən işçi qüvvəsi
5236	human migration	The permanent or semipermanent change of a person's place of residence.	insanların miqrasiyası
5237	animal migration	Movements that particular animals carry out regularly often between breeding places and winter feeding grounds.	heyvanların miqrasiyası
5238	migratory bird	Birds which migrate in a body.	köçəri quş
5239	migratory species		köçəri növlər
5241	military aspects		hərbi aspektlər
5243	military activities	Actions and movements pertaining to or conducted by the armed forces.	hərbi əməliyyatlar
5245	military air traffic	Air traffic of or relating to the armed forces.	hərbi hava nəqliyyatının hərəkəti
5253	military zone	Area whose utilization is exclusively reserved to the army.	hərbi zona
5254	milk	"The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats. mineral salts, vitamins, and antibodies."	süd
5258	mill	A building where grain is crushed into flour.	dəyirman
5261	mine	An opening or excavation in the earth for extracting minerals.	"mədən, şaxta"
5262	mine filling	"Filling of disused mines with soil, crushed stone, or waste materials in order to restore the geological, agricultural and landscape features of the concerned area."	tullantıların şaxtaya atılması
5264	mineral deposit	"A mass of naturally occurring mineral material, e.g. metal ores or nonmetallic mineral, usually of economic value, without regard to mode of origin."	faydalı qazıntılar yatağı
5265	mineral extraction	The process of extracting metallic or nonmetallic mineral deposits from the Earth.	faydalı qazıntıların hasilatı
5267	mineral fibre	"A fiber manufactured from glass, rock, or slag generally for use in fabricating heat insulation."	mineral lif
5268	mineral industry	"Industry for the exploitation of minerals from soil deposits by underground excavations or open workings, employing adequate plants and equipment."	dağ-mədən hasilatı sənayesi
5269	mineralisation	The process of fossilization whereby inorganic materials replace the organic constituent of an organism.	minerallaşma
5270	mineralogy	The science which concerns the study of natural inorganic substances called minerals.	mineralogiya
5274	mineral resource	Valuable mineral deposits of an area that are presently recoverable and may be so in the future; includes known ore bodies and potential ore.	mineral resurs
5277	mineral	A naturally occurring substance with a characteristic chemical composition expressed by a chemical formula; may occur as individual crystals or may be disseminated in some other material or rock.	mineral
5279	mineral water	Water containing naturally or artificially supplied minerals or gases.	mineral su
5282	minimal cost planning	"The process of making arrangements or preparations to facilitate the production of goods or services at an output that would require the lowest possible expenditure of money, time or labor."	aşağı qiymətli (qənaətcil) planlaşdırma
5283	minimisation of damage	The activity of reducing the harm or injury done to the environment or ecosystem.	zərərin minimallaşdırılması
5286	mining district	A district where mineral exploitation is performed.	dağ-mədən istismarı bölgəsi
5287	mining engineering	"Engineering concerned with the discovery, development and exploitation of coal, ores, and minerals, as well as the cleaning, sizing and dressing of the product."	dağ-mədən sənayesi
5288	mining geology	"The study of geologic aspects of mineral deposits, with particular regard to problems associated with mining."	filiz yataqlarının geologiyası
5289	mining industry	"A sector of the economy in which an aggregate of commercial enterprises is engaged in the extraction of minerals occurring naturally, often involving quarrying, well operations, milling, exploration and development."	dağ-mədən sənayesi
5290	mining law	A binding rule or body of rules prescribed by a government to regulate the potentially harmful activity of enterprises concerned with the extraction and processing of precious or valuable metals.	faydalı qazıntıların istismarı sahəsində qanun
5293	mining regulation	"A rule or order prescribed by government or management to promote the safety, legality or ecological responsibility of any aspect of the process or industry of ore extraction."	faydalı qazıntıların istismarını tənzimləyən normativ sənəd
5295	mining site restoration	"Mining is an intensive type of land use with potential for environmental impact over a limited area. When closure occurs, it should address both environmental and safety aspects. Mine reclamation is an ongoing program designed to restore to an acceptable state the physical, chemical and biological quality or potential of air, land and water regimes disturbed by mining. The objective of mine reclamation is to prevent or minimize adverse long-term environmental impacts, and create a self-sustaining ecosystem as near as practicable to what existed before the mining activity."	istismar başa çatdıqdan sonra torpaqların rekultivasiyası
5297	mining waste	Any residue which results from the extraction of raw materials from the earth.	mədən tullantıları
5298	ministerial decree	"A formal judgment or mandate handed down on a specific issue or concern from a major administrative department of a state, usually under the authority of that department's chief minister, secretary or administrator."	nazirliyin əmri
5299	ministry	"The body of top government administrators or other high ranking public officials that are selected by a head of state to manage certain aspects of a state's affairs, as opposed to civil servants whose tenure is unaffected by public changes resulting from democratic elections or some other process."	nazirlik
5303	minority	"A group that is different racially, politically, etc. from a larger group of which it is a part."	azlıq
5305	miscellaneous product	No definition needed.	qeyri-yekcins məhsul
5307	miscibility	"The tendency or capacity of two or more liquids to form a uniform blend, that is, to dissolve in each other; degrees are total miscibility, partial miscibility, and immiscibility."	qarışma qabiliyyəti
5310	mite	"An order of small Arachnida with rounded bodies. Mites are very abundant in the soil, feeding on plant material and invertebrate animals. Some parasitic mites (e.g. red spider) damage crops and can be serious pests. Others cause diseases in animals. Ticks are blood-suckers, some being vectors of diseases such as Rocky Mountain spotted fever in humans and fowls, and louping ill in cattle and sheep."	gənə
5311	mitigation measure	Any procedure or action undertaken to reduce the adverse impacts that a project or activity may have on the environment.	mənfi təsir səviyyəsinin azaldılması tədbiri
5313	mixed farming	Type of agriculture based on the combination of crop production and cattle raising.	qarışıq fermer təsərrüfatı
5316	mixed forest	A forest composed of several tree species.	qarışıq meşə
5317	mixed use area	"Use of land for more than one purpose; e.g. grazing of livestock, watershed and wildlife protection, recreation, and timber production."	fərqli təsərrüfat təyinatlı torpaqlar
5318	mixing	The intermingling of different materials to produce a homogeneous mixture.	qarışdırma
5322	mobile home	Living quarters mounted on wheels and capable of being towed by a motor vehicle.	hərəkət edən (mobil) ev
5325	model	"1) A representation, usually on a smaller scale, of a device, structure, etc. 
2) A quantitative or mathematical representation or computer simulation which attempts to describe the characteristics or relationships of physical events."	model
5327	modelling	An investigative technique using a mathematical or physical representation of a system or theory that accounts for all or some its known properties. Models are often used to test the effect of changes of system components on the overall performance of the system.	modelləşdirmə
5332	moisture	"1) The water vapour content of the atmosphere, or the total water substances (gaseous, liquid and solid) present in a given volume of air. 
2) Water that is dispersed through a gas in the form of water vapour or small droplets, dispersed through a solid, or condensed on the surface of a solid."	"rütubət, nəmlik"
5333	molecular biology	"The study of the chemical structures and processes of biological phenomena at the molecular level; the discipline is particularly concerned with the study of proteins, nucleic acids, and enzymes, the macromolecules essential to life processes. It seeks to understand the molecular basis of genetic processes. Techniques used include X-ray diffraction and electron microscopy."	molekulyar biologiya
5339	mollusc	"Any of various invertebrates having a soft unsegmented body and often a shell, secreted by a fold of skin."	mollyusk
5343	monetary assessment	"Financial determination, adjustment, estimation, or appraisal for purposes of levying a tax, charge or fine."	maliyyə qiymətləndirməsi
5346	monitoring	To check regularly in order to perceive change in some quality or quantity.	monitorinq
5347	monitoring criterion	No definition needed.	monitorinq meyarı
5348	monitoring data	No definition needed.	monitorinqin məlumatları
5349	monitoring equipment	Specific equipment used in remote sensing.	monitorinq üçün avadanlıq
5350	monitoring network	Interconnected group of monitoring stations for the surveillance of pollution.	monitorinq stansiyaları şəbəkəsi
5352	monitoring station	"Station where the presence, effect, or level of any polluting substance in air or water, noise and blasting, radiation, transport movements, land subsidence, or change in the character of vegetation are measured quantitatively or qualitatively."	monitorinq stansiyası
