code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
7328	rubber waste	"Any refuse or unwanted material made of synthetic or natural rubber, often the byproduct of rubber processing."	مخلفات المطاط	"أي نفايات أو مواد غير مرغوب فيها مصنوعة من المطاط الطبيعي أو الصناعي، وكثيرا ما تكون منتجات ثانوية لتصنيع المطاط."				
7340	runoff	"Rate at which water is removed by flowing over the soil surface. This rate is determined by the texture of the soil, slope, climate, and land use cover (e.g. paved surface, grass, forest, bare soil)."	انسياب سطحي	"معدل إزالة الماء بانسيابه على سطح التربة. ويتحدد هذا المعدل بملمس التربة ودرجة الانحدار والمناخ وغطاء استخدام الأرض (سطح ممهد، حشائش، تربة عارية)."				
7345	rural area	"Area outside the limits of any incorporated or unincorporated city, town, village, or any other designated residential or commercial area such as a subdivision, a business or shopping center, or community development."	منطقة ريفية	"منطقة خارج حدود أي مدينة أو بلدة أو قرية أو أي مساحة أخرى مخصصة للأغراض السكنية أو التجارية، سواء أكانت منضمة أو غير منضمة، كالتقسيمات الفرعية أو المشروعات التجارية أو مراكز التسوق أو مشروعات تطوير المجتمع المحلي."				
7348	rural environment	Environment pertaining to the countryside.	بيئة ريفية	بيئة خاصة بالريف.				
7352	rural population	The total number of persons inhabiting an agricultural or pastoral region.	سكان الريف	إجمالي عدد الأشخاص الذين يقطنون منطقة زراعية أو رعوية.				
7353	rural settlement	A collection of dwellings located in a rural area.	مستعمرة ريفية	مجموعة من المساكن الواقعة في منطقة ريفية.				
7354	agritourism	"Holidays organized in a farm: meals are prepared with natural products and guests are entertained with handicraft, sporting and agricultural activities."	السياحة الريفية	"إجازات يتم تنظيمها في مزرعة، حيث تعد وجبات الطعام باستخدام المنتجات الطبيعية ويتسلى الزوار بمشاهدة الحرف اليدوية والرياضة والأنشطة الزراعية."				
7355	rural water supply		إمدادات الماء في المناطق الريفية					
7362	safety	"The state of being secure from harm, injury, danger or risk, often as a result of planned measures or preparations."	أمان	"حالة الأمن من الضرر أو الإصابة أو الخطر أو المخاطرة، عادة ما تكون نتيجة تدابير أو ترتيبات مخططة"				
7363	safety analysis	"The process of studying the need for or efficacy of actions, procedures or devices intended to lower the occurrence or risk of injury, loss and danger to persons, property or the environment."	تحليل الأمان	"عملية دراسة الحاجة إلى  تحركات أو إجراءات أو أجهزة، أو مدى فعاليتها، بغرض تقليل معدل وقوع أو احتمال الإصابة أو الفقد أو الخطر على الأشخاص أو الممتلكات أو البيئة. "				
7364	safety measure	"An action, procedure or contrivance designed to lower the occurrence or risk of injury, loss and danger to persons, property or the environment."	تدابير  (إجراءات) الأمان	تحرك أو إجراء أو تجهيز معد بغرض تقليل معدل وقوع أو احتمال الإصابة أو الفقد أو الخطر على الأشخاص أو الممتلكات أو البيئة.  				
7366	safety rule	"A principle or regulation governing actions, procedures or devices intended to lower the occurrence or risk of injury, loss and danger to persons, property or the environment."	قاعدة أمان	مبدأ أو تنظيم يحكم التحركات أو الإجراءات أو الأجهزة التي يراد بها تقليل معدل وقوع أو احتمال الإصابة أو الفقد أو الخطر على الأشخاص أو الممتلكات أو البيئة.  				
7367	safety standard	"A norm or measure applicable in legal cases for any action, procedure or contrivance designed to lower the occurrence or risk of injury, loss and danger to persons, property or the environment."	معيار أمان	أي معيار أو مقياس يطبق في القضايا بخصوص أي تحرك أو إجراء أو تجهيز مصمم لتقليل معدل وقوع أو احتمال الإصابة أو الفقد أو الخطر على الأشخاص أو الممتلكات أو البيئة. 				
7369	safety standard for building	A collection of rules and regulations adopted by authorities concerning structural and mechanical standards for safety.	معايير الأمان في المباني	مجموعة من القواعد والتنظيمات التي تتبناها السلطات فيما يتعلق بالمعايير الإنشائية والميكانيكية للأمان.				
7370	safety study	"Research, detailed examination and usually a written report on the need for or efficacy of actions, procedures or devices intended to lower the occurrence or risk of injury, loss and danger to persons, property or the environment."	دراسة الأمان	"البحث والفحص التفصيلي المصحوب عادة  بتقرير مكتوب عن الحاجة إلى تحركات أو إجراءات أو أجهزة يراد بها تقليل معدل وقوع أو احتمال الإصابة أو الفقد أو الخطر على الأشخاص أو الممتلكات أو البيئة، أو عن مدى فعاليتها. "				
7373	salamander	"Any of various urodele amphibians, such as Salamandra salamandra of central and S Europe. They are typically terrestrial, have an elongated body, and only return to water to breed."	السمندل	"أي برمائي من البرمائيات العديدة ذات الذيل مثل سمندل وسط وجنوب أوروبا. يتميز بأنه حيوان بري له جسم مستطيل، ولا يعود إلى الماء إلا للتكاثر"				
7376	salination	"The accumulation of soluble salts by evaporation of the waters that bore them to the soil zone, in a soil of an arid, poorly drained region."	تملُّح	تراكم الأملاح القابلة للذوبان عن طريق تبخر المياه التي كانت تحملها إلى منطقة التربة وذلك في تربة منطقة قاحلة رديئة التصريف. 				
7384	salmonella	"General name for a family of microorganisms, one of the largest groups of bacteria, that includes those most frequently implicated in food poisoning and gastroenteritis. Unhygienic handling and inadequate cooking of poultry and meat, improper storage of cold meats and, more recently, contamination of battery-reared hen eggs, are the most common sources of salmonella infections."	سالمونيلا	"اسم عام يطلق على فصيلة من الكائنات متناهية الصغر وهي من أكبر المجموعات البكتيرية، وتتضمن أكثرها ضلوعا في تسمم الأغذية والالتهابات المعدية المعوية. أكثر مصادر عدوى السالمونيلا شيوعا هي التعامل غير الصحي والطهو غير الكافي للدواجن واللحوم، والتخزين غير السليم للحوم الباردة، ومؤخرا تلوث بيض الدجاج الذي تتم تربيته في بطاريات الدواجن."				
7390	salt content	Amount of salt contained in a solution.	المحتوى من الملح	كمية الملح التي يحتوي عليها المحلول.				
7395	salt load		الحِمل من الملح					
7396	salt marsh	"Areas of brackish, shallow water usually found in coastal areas and in deltas. There are also inland marshes in arid areas where the water has a high salt level because of evaporation. They are environmentally delicate areas, extremely vulnerable to pollution by industrial or agricultural chemicals, or to thermal pollution, which often results when river water has been used as the coolant in power stations and industrial plants."	مستنقع مالح	مساحة من الماء الضحل المالح توجد عادة في المناطق الساحلية ودلتاوات الأنهار. كما توجد أيضا مستنقعات داخلية في الأراضي القاحلة حيث تتسم المياه بارتفاع مستوى الملح فيها بسبب التبخر. وهي مناطق حساسة بيئيا وشديدة الهشاشة أمام التلوث بالكيماويات الصناعية والزراعية أو التلوث الحراري الذي ينجم دائما عن استخدام مياه النهر كمبرد في محطات الطاقة والمصانع.				
7397	salt meadow	A meadow subject to overflow by salt water.	مَرج مالح	مرج تعرض للغمر بماء مالح.				
7400	salt plug	"A mass of salt which is injected as a diapir (a dome in which the overlying rocks have been ruptured by the squeezing-out of plastic core material) into overlying sedimentary rocks, thereby piercing and deforming them. The mechanism is similar to that of an intrusive magma, with the salt deforming and behaving plastically under pressure. It is of great economic importance because it assists in the formation of a trap"" structure for oil accumulation"	" gypsum and sulphur."""	كتلة من الملح الذي تم حقنة كمنتئ (قبة أو نتوء تم تحطيم الصخور الواقعة فوقها بدفع مادة قابلة للتشكل إلى قلبها من الداخل) في صخور رسوبية بحيث يخترقها ويشوهها. وهذه الآلية تشبه حركة الصهارة البركانية حيث يتشوه الملح ويتصرف كمادة ذات قابلية للتشكل تحت الضغط. ولها أهمية اقتصادية كبيرة لأنها تساعد على تشكيل تكوينات لحبس التراكمات النفطية والجبسية والكبريتية.				
7401	salt	The reaction product when a metal displaces the hydrogen of an acid.	ملح	ناتج التفاعل عندما يحل المعدن محل الهيدروجين في أحد الأحماض.				
7402	salt water	"Water of the seas, distinguished by high salinity."	مياه مالحة	مياه من البحر تتميز بارتفاع ملوحتها.				
7404	salvage	"The act, process, or business of rescuing vessels or their cargoes from loss at sea."	إنقاذ (سفينة من الغرق)	إجراء أو عملية أو نشاط تجاري لإنقاذ السفن أو حمولاتها من الضياع في البحر.				
7407	sampling	The obtaining of small representative quantities of material for the purpose of analysis.	أخذ عينات	الحصول على كميات صغيرة ممثلة من مادة بغرض التحليل.				
7410	sampling technique	Method of selecting items at random from a set in such a manner that the sample will be representative of the whole.	تقنية أخذ العينات	أسلوب اختيار الأشياء عشوائيا من مجموعة بحيث تكون العينة ممثلة للكل.				
7411	sanction		عقوبة					
7413	sand	"A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters."	رمل	"مادة مفككة تتكون من جسيمات معدنية صغيرة أو صخور أو جسيمات معدنية يمكن رؤيتها بالعين المجردة. وتتراح حباتها بين المستديرة تماما إلى الحبات ذات الأركان، ويتراوح قطرها بين جزء من ستة عشر جزءا إلى 2 ملليمتر."				
7419	sand dune fixation	"Stabilization of dunes effected by the planting of marram grass (Ammophila arenaria), or rice grass, whose long roots bind the surface layers of sand and so hinder its removal by wind. A larger scale method of dealing with the same problem is by afforestation."	تثبيت الكثبان الرملية	تثبيت الكثبان الرملية المتأثرة عن طريق زراعة حشائش قصب الرمال أو الأرز والتي تؤدي جذورها الطويلة إلى تقييد الطبقات السطحية من الرمال ومن ثم تعوق إزالتها عن طريق الرياح. ومن الاساليب التي تستخدم على نطاق أوسع للتعامل مع نفس المشكلة التشجير. 				
7420	sand dune	"An accumulation of loose sand heaped up by the wind, commonly found along low-lying seashores above high-tide level, more rarely on the border of large lakes or river valleys, as well as in various desert regions, where there is abundant dry surface sand during some part of the year."	كثيب رملي	"تراكم الرمل السائب الذي تكومه الرياح، ويشيع وجود الكثبان الرملية على امتداد السواحل البحرية الخفيضة فوق مستوى المد العالي، بينما تندر على حدود البحيرات الكبيرة أو وديان الأنهار، كما توجد في العديد من المناطق الصحراوية حيث يوجد قدر وافر من الرمال السطحية الجافة خلال بعض أجزاء العام."				
7423	sand extraction	The extraction of sand by mining for building purposes and for the extraction of heavy minerals such as rutile and zircon.	استخراج الرمل	استخراج الرمل بالتعدين لأغراض البناء واستخراج المعادن الثقيلة مثل الروتيل والزيركون.				
7425	sand pit	A place where sand is extracted from the ground.	المَرمَلة	مكان يستخرج منه الرمل من الأرض.				
7436	sanitary fitting	The set of furnishings designed for personal hygiene and the disposal of organic waste.	أدوات صحية	مجموعة من التجهيزات المصممة لأغراض النظافة الشخصية والتخلص من المخلفات العضوية.				
7438	sanitary landfill	"An engineered method of disposing of solid waste on land in a manner that protects the environment, by spreading the waste in thin layers, compacting it to the smallest practical volume and covering it with compacted soil by the end of each working day or at more frequent intervals if necessary."	الطمر الصحي	أسلوب منظم هندسيا للتخلص من النفايات الصلبة على اليابسة بطريقة تحمي البيئة وذلك بنشر المخلفات في طبقات رقيقة وضغطها إلى أدنى حجم ممكن من الناحية العملية وتغطيتها بطبقة مضغوطة من التربة بنهاية كل يوم عمل أو على فترات أقصر حسب الضرورة.				
7443	sanitation	The study and use of practical measures for the preservation of public health.	التدابير الصحية	دراسة واستخدام التدابير العملية للحفاظ على الصحة العامة.				
7444	sanitation plan	"Plans for the control of the physical factors in the human environment that can harm development, health, or survival."	الخطة الصحية	خطط للسيطرة على العوامل الفيزيائية في البيئة الإنسانية التي يمكن أن تضر بالتنمية أو الصحة أو البقاء.				
7449	saprobic index	Indication or measure of the level of organic pollution.	مؤشر العفونة	مؤشر أو قياس يبين مستوى التلوث العضوي.				
7450	saprobe	Referring to the classification of organisms according to the way in which they tolerate pollution.	عفن	مصطلح يشير إلى تصنيف للكائنات حسب الطريقة التي تتحمل بها التلوث.				
7452	satellite	"An object that orbits around a larger one. Artificial satellites orbiting the Earth are used for communications, the gathering of military intelligence, the monitoring of weather and other environmental phenomena, etc."	"قمر، تابع"	"جسم يدور حول جسم أكبر منه. وتستخدم الأقمار الصناعية التي تدور حول الأرض للاتصالات وجمع المعلومات العسكرية ورصد الطقس وغيره من الظواهر البيئية، إلخ."				
7457	saving	The amount of current income which is not spent for survival or enjoyment.	ادخار	كمية الدخل الحالي التي لا تنفق على ضروريات العيش أو الاستمتاع.				
7458	sawdust	Wood fragments made by a saw in cutting.	نشارة الخشب	شذرات خشبية يحدثها المنشار عند قطع الخشب.				
7464	schistosomiasis	"A disease in which humans are parasitized by any of three species of blood flukes: Schistosoma mansoni, S. haematobium, and S. japonicum; adult worms inhabit the blood vessels."	 البلهاريسيا	مرض يصاب فيه الإنسان بطفيل من ثلاثة أنواع دودية: البلهارسيا المنسوية والدموية واليابانية. وتعيش الديدان البالغة في الأوعية الدموية.				
7465	school	An institution or building at which children and young people receive education.	مدرسة	مؤسسة أو مبنى يتلقى فيه الأطفال أو الصغار التعليم.				
7470	school teaching	"Instruction or training received in any educational institution, but especially to persons under college age."	التعليم المدرسي	"التعليم أو التدريب في أي مؤسسة تعليمية، وبخاصة تعليم من هم دون سن الجامعة."				
7472	science	"The study of the physical universe and its contents by means of reproducible observations, measurements, and experiments to establish, verify, or modify general laws to explain its nature and behaviour."	عِلم	دراسة الكون الفيزيائي ومحتوياته عن طريق الملاحظات التي يمكن تكرارها والقياسات والتجارب للوقوف على القوانين العامة والتحقق منها أو تعديلها لتفسير طبيعة الكون وسلوكه.				
7477	scientific and technical information	Knowledge communicated or received pertaining to the systematic study of the physical world or to the mechanical or industrial arts.	معلومات علمية وتقنية	المعارف المرسلة أو المستقبلة فيما يتعلق بالدراسة المنهجية للعالم الفيزيائي أو بالفنون الميكانيكية أو الصناعية.				
7478	scientific co-operation		التعاون العلمي					
7480	scientific policy	"A course of action adopted and pursued by government, business or some other organization, which promotes or determines the direction for the systematic study, research and experimentation of a particular aspect of the physical or material world, which may lead to scholarly contributions in a branch of knowledge."	السياسة العلمية	مسار للعمل تتبناه وتتبعه الحكومة أو غيرها من الشركات التجارية أو المنظمات لتعزيز وتحديد اتجاه الدراسة المنهجية والبحث والتجريب المنهجي لجانب معين من جوانب العالم  الفيزيائي أو المادي والذي قد يؤدي إلى إسهامات علمية في فرع من فروع المعرفة.				
7482	scoping procedure	"The prescribed step or manner of proceeding in an environmental impact assessment, by which a public discussion is held to discuss the information that needs to be developed, the alternatives that need to be considered and other important environmental issues."	إجراء تعريف النطاق	خطوة أو طريقة إجرائية منصوص عليها في تقييم الآثار البيئية تقضي بفتح نقاش عام لمناقشة المعلومات التي تحتاج إلى مزيد من التطوير والبدائل التي تحتاج إلى الدراسة وغير ذلك من القضايا البيئية المهمة.				
7483	scrap material	Recyclable material from any manufacturing process or discarded consumer products.	المهملات	مواد قابلة لإعادة التدوير مصدرها أي عمليات تصنيع أو منتجات استهلاكية تم التخلص منها.				
7484	scrap material market	The trade or traffic in discarded or leftover materials that can be reused in some way.	سوق المهملات	تجارة أو الاتجار في المواد المهملة أو بقايا المواد التي يمكن إعادة استخدامها بشكل ما.				
7485	scrap material price	The amount of money or the monetary rate at which materials discarded from manufacturing operations can be bought or sold.	سعر المهملات	المبالغ المالية أو المعدلات النقدية التي يمكن بها بيع أو شراء المواد المتخلفة عن عمليات التصنيع.				
7486	scrap metal	Any metal material discarded from manufacturing operations and usually suitable for reprocessing.	نفايات معدنية	أي مادة معدنية تخلفت عن عمليات تصنيع وتكون عادة ملائمة لإعادة المعالجة.				
7489	scrap vehicle	Car which is delivered for breaking up or otherwise discarded.	سيارة نفايات	سيارة من المقرر تفكيكها أو التخلص منها بشكل آخر.				
7491	screening	The reduction of the electric field about a nucleus by the space charge of the surrounding electrons.	ستر - وضع ساتر	الحد من الحقل الكهربائى  حول النواة عن طريق الشحنة الفراغية للإلكترونات المحيطة بها.				
7495	sea	"1) In general, the marine section of the globe as opposed to that of the land. 
2) The name given to a body of salt water smaller than an ocean and generally in proximity to a continent."	بحر	"ـ 1) بصفة عامة، القسم المائي من الأرض في مقابل اليابسة. ـ 2) اسم يطلق على جسم مائي مالح أصغر من المحيط ويقع عموما بالقرب من إحدى القارات."				
7497	sea bed	The bottom of the ocean. Also known as sea floor; sea bottom. The ocean floor is defined as the near-horizontal surface of the ocean basin.	قاع البحر	قاع المحيط أو البحر. ويعرف قاع المحيط بأنه السطح شبه الأفقي لحوض المحيط.				
7498	sea bed exploitation	"Marine mineral resources extend far beyond those presently exploited; minerals are derived from two separate types of marine sources: from sedimentary deposits underlying the continental shelves and from inshore deposits on the surface of the continental shelves. By far the most valuable of the mineral resources exploited from marine environments is petroleum. Offshore placer deposits on the surface of the continental shelves yield gold, platinum, and tin. On the floors of the world's oceans manganese nodules are found as a result of pelagic sedimentation or precipitation; they are small, irregular, black to brown, friable, laminated concretionary masses consisting primarily of manganese salts and manganese-oxide minerals."	استغلال قاع البحر	"تمتد المصادر المعدنية البحرية أمتدادا واسعا يفوق المستغل منها حاليا. وتأتي المعادن من مصدرين منفصلين من المصادر البحرية، هما الترسيبات الرسوبية التي تقع تحت الجروف القارية والترسيبات الشاطئية الموجودة على سطح الجروف القارية. وأهم المصادر المعدنية على الإطلاق المستغلة في البيئات البحرية هي البترول. بينما تعطي الترسيبات البحرية الغرينية على سطح الجروف القارية الذهب والبلاتين والقصدير. أما في قيعان محيطات العالم فيمكن أن نجد المنجنيز نتيجة للترسيب أو الهطول في المناطق المفتوحة من مياه المحيط، وهي كتل صغيرة متحجرة غير منتظمة سوداء أو بنية اللون مكونة من طبقات سهلة التفتت تتألف أساسا من أملاح المنجنيز ومعادن أكاسيد المنجنيز."				
7500	sea bed mining	"The activity or processes involving the extraction of mineral deposits from the surface, or below the surface, of the ocean floor."	التعدين في قاع البحر	الأنشطة أو العمليات المتعلقة باستخراج الترسيبات المعدنية من سطح قاع المحيط أو من تحت السطح.				
7502	sea circulation	"Large-scale horizontal water motion within an ocean. The way energy from the sun, stored in the sea, is transported around the world. The currents explain, for example, why the UK has ice-free ports in winter, while St. Petersburg, at the same latitude as the Shetland Islands, needs ice breakers. Evidence is growing that the world's ocean circulation was very different during the last ice age and has changed several times in the distant past, with dramatic effects on climate. The oceans are vital as storehouses, as they absorb more than half the sun's heat reaching the earth. This heat, which is primarily absorbed near the equator is carried around the world and released elsewhere, creating currents which last up to 1.000 years. As the Earth rotates and the wind acts upon the surface, currents carry warm tropical water to the cooler parts of the world. The strength and direction of the currents are affected by landmasses, bottlenecks through narrow straits, and even the shape of the sea-bed. When the warm water reaches polar regions its heat evaporates into the atmosphere, reducing its temperature and increasing its density. When sea-water freezes it leaves salt behind in the unfrozen water and this cold water sinks into the ocean and begins to flow back to the tropics. Eventually it is heated and begins the cycle all over again."	الدورات المائية البحرية	"الحركة الأفقية واسعة النطاق لماء المحيط. وطريقة نقل الطاقة المستمدة من الشمس والمخزونة في البحار حول العالم. فالتيارات البحرية مثلا تفسر لماذا تكون موانئ المملكة المتحدة خالية من الجليد في الشتاء بينما مدينة سان بطرسبرج التي تقع على نفس خط العرض الذي تقع عليه جزر شيتلاند تحتاج إلى كسارات الجليد. وثمة دلائل متنامية على أن الدورات المائية في محيطات العالم كانت مختلفة كثيرا خلال آخر عصر جليدي شهدته الأرض، وأنها قد تغيرت مرات عديدة في الماضي السحيق، مما أدى لحدوث تغيرات درامية في المناخ. وتعد المحيطات ذات أهمية حيوية باعتبارها مستودعات تمتص أكثر من نصف حرارة الشمس التي تصل إلى الأرض. هذه الحرارة التي تمتص أساسا قرب خط الاستواء تحمل حول العالم ويتم إطلاقها في أماكن أخرى، فتخلق تيارات تدوم لفترات قد تصل إلى ألف عام. ومع دوران الأرض تؤثر الرياح على سطحها، فتحمل التيارات المياه المدارية الدافئة إلى البقاع الأبرد من العالم. وتتأثر قوة واتجاه التيارات بالكتل الأرضية والمضايق الضيقة، بل وشكل قاع البحر. وعندما تصل المياه الدافئة إلى المناطق القطبية تتبخر حرارتها في الغلاف الجوي، فتنخفض حرارتها وترتفع كثافتها. وعندما تتجمد مياه البحر فإنها تخلف ملحا في المياه غير المتجمدة وتهبط هذه المياه الباردة إلى أسفل في قاع المحيط وتبدأ في التدفق عائدة نحو المدارين. وفي النهاية تسخن وتبدأ الدورة مرة أخرى من جديد. "				
7513	sea level	"The level of the surface of the ocean; especially, the mean level halfway between high and low tide, used as a standard in reckoning land elevation or sea depths."	مستوى سطح البحر	"مستوى سطح المحيط، وخاصة متوسط هذا المستوى في المنتصف بين أعلى مد وأقل جزر، ويستخدم كمعيار لقياس ارتفاع الأرض أو عمق البحر."				
7514	sea level rise	"Sea-level rises are a possible consequence of global warming. As the amount of free water in the oceans increases, and as the water becomes warmer, global warming will increase. In addition, according to theory, the heating at the poles may reduce the amount of water trapped in glaciers and ice caps."	ارتفاع مستوى سطح البحر	"ارتفاع مستوى سطح البحر من النتائج المحتملة للاحترار العالمي. فمع تزايد كمية الماء الحار في المحيطات ومع ارتفاع درجة حرارة المياه يزداد الاحترار العالمي. وبالإضافة إلى ذلك، فمن الناحية النظرية قد يؤدي ارتفاع درجة الحرارة عند القطبين إلى تقليل كمية الماء المحتبس في الأنهار الجليدية والطواقي الجليدية."				
7516	sealing	"Luting, making watertight, waterproofing."	خَتم - الإغلاق بخاتم	"إغلاق فوهة، أو جعل شيء ما غير منفذ للماء."				
7519	seal (technical)	Any device or system that creates a nonleaking union between two mechanical or process-system elements.	الختم (أداة)	جهاز أو نظام يؤدي إلى تكوين وحدة غير منفذة للتسرب بين عنصرين ميكانيكيين أو عنصرين في نظام معالجة.				
7520	sea outfall	"The point, location or structure where effluent discharges into a body of marine waters such as a sea, ocean, etc."	مصب بحري	"نقطة أو موضع أو بناء يتم عنده طرد التدفقات السائلة إلى جسم مائي بحري كالبحر أو المحيط، إلخ. "				
7525	sea resource	"Marine resources include food, energy and minerals."	مصدر بحري	مصادر بحرية تتضمن الغذاء والطاقة والمعادن.				
7528	seashore	The zone of unconsolidated material that extends landward from the low water-line to where there is marked change in material or physiographic form or to the line of permanent vegetation.	شاطئ البحر	منطقة المادة غير المتماسكة التي تمتد تجاه اليابسة من خط الماء المنخفض إلى حيث يوجد تغير فى الشكل المادي أو الفيزيوجرافي أو إلى خط الغطاء النباتي الدائم.				
7529	season	"One of the four equal periods into which the year is divided by the equinoxes and solstices, resulting from the apparent movement of the sun north and south of the equator during the course of the earth's orbit around it. These periods (spring, summer, autumn and winter) have their characteristic weather conditions in different regions, and occur at opposite times of the year in the N and S hemispheres."	موسم	"أحد الفترات الأربع المتساوية التي ينقسم إليها العام بفعل الاعتدالين والانقلابين، مما يؤدي إلى الحركة الظاهرية للشمس شمال وجنوب خط الاستواء خلال مدة دوران الأرض حولها. هذه الفترات (الربيع والصيف والخريف والشتاء) لها ظروف جوية مميزة في المناطق المختلفة، وتظهر في توقيتات متعاكسة في العام في نصف الكرة الشمالي ونصفها الجنوبي. "				
7531	seasonal migration	The periodic movement of a population from one region or climate to another in accordance with the yearly cycle of weather and temperature changes.	الهجرة الموسمية	الحركة الدورية لجمع من الكائنات من منطقة لأخرى أو من مناخ إلى آخر حسب الدورة السنوية لتغيرات الطقس ودرجات الحرارة.				
7535	sea water	"Aqueous solution of salts in more or less constant ratio, whose composition depends on several factors among which predominate living organisms, detrital sedimentation and the related chemical reactions. Sea-water accounts for more than 98% of the mass of the hydrosphere and covers just over 70% of the globe. Because of the composition and stability of the oceans, and the way they are controlled, they are of great importance to the climate, and great attention has been given to studying the effects of pollution. Man's activities are believed to be accelerating the change in the composition of sea-water."	مياه البحر	"محلول مائي من الأملاح بنسب ثابتة إلى حد ما، يعتمد تركيبها على عوامل عديدة على رأسها الكائنات الحية والترسيبات الطبيعية وما يرتبط بها من تفاعلات كيميائية. وتمثل مياه البحر أكثر من 98% من كتلة الغلاف المائي وتغطي ما يزيد قليلا عن 70% من العالم. ونظرا لتركيب واستقرار المحيطات والطريقة المحكومة بها فإنها ذات أهمية كبيرة للمناخ ولذلك يوجد اهتمام كبير بدراسة تأثير التلوث عليها. ويعتقد أن الأنشطة البشرية تؤدي إلى تسريع التغير في تركيب مياه البحر. "				
7536	sea water desalination	Removing salt from ocean or brackish water.	تحلية ماء البحر - إزالة ملوحة ماء البحر	إزالة الملح من مياه المحيط أو من الماء الأجاج.				
7538	sea water protection		حماية ماء البحر					
7541	secondary biotope	"In the case of disruption of an existing biotope, secondary biotope can be created as a compensation and substitute measure for the loss of the natural one."	موطن حيوي ثانوي	في حالة اختلال موطن حيوي موجود بالفعل يمكن خلق موطن حيوي ثانوي كإجراء تعويضي بديل عن فقد الموطن الطبيعي الأصلي.				
7542	secondary education	The years of instruction following elementary school and until the end of high school.	التعليم الثانوي	سنوات التعليم بعد الدراسة الابتدائية وحتى نهاية المرحلة الثانوية.				
7548	secondary sector	The part of a country or region's economy that produces commodities without much direct use of natural resources.	قطاع ثانوي	جانب من اقتصاد دولة أو منطقة ينتج السلع دون اعتماد كبير على استخدام الموارد الطبيعية استخداما مباشرا.				
7551	second-hand goods	Goods or products that have been used previously.	سلع مستعملة	بضائع أو منتجات سبق استخدامها.				
7554	economic sector	"A part of a country's or region's commercial, industrial and financial activity, delimited either by public, corporate and private organization of expenditures or by agriculture, manufacturing and service product types."	قطاع اقتصادي	جانب من النشاط التجاري والصناعى والمالي لدولة أو منطقة يقوم على تنظيم الإنفاق على مستوى القطاع العام أو الخاص أو الشركات أو يقوم على الزراعة وإنتاج المنتجات الصناعية والخدمات.				
7557	security of installations	"Measures, techniques or designs implemented to protect from harm or restrict access to any apparatus, machinery or construction put in place or connected for use."	أمن التجهيزات	تدابير أو أساليب أو تصميمات تطبق للحماية من الضرر أو تقييد النفاذ إلى أي أجهزة أو ماكينات أو إنشاءات مركبة أو موصلة بغرض الاستخدام.				
7560	sedimentary basin	"A geomorphic feature of the earth in which the surface has subsided for a prolonged time, including deep ocean floors, intercontinental rifts and elevated and interior drainage basins."	حوض ترسيب	"ملمح جيومورفولوجي للأرض حيث ينخفص سطحها لفترة طويلة من الزمن، بما في ذلك قيعان المحيطات العميقة والأخاديد العابرة للقارات وأحواض التصريف المرتفعة والداخلية."				
7562	sedimentation (industrial process)	The separation of an insoluble solid from a liquid in which it is suspended by settling under the influence of gravity or centrifugation.	ترسيب (عملية صناعية)	فصل مادة صلبة غير قابلة للذوبان من سائل تكون مستعلقة فيه بجعلها تستقر بتأثير الجاذبية أو الطرد المركزي.				
7563	sedimentation (geology)	"The act or process of forming or accumulating sediment in layers, including such processes as the separation of rock particles from the material from which the sediment is derived, the transportation of these particles to the site of deposition, the actual deposition or settling of the particles, the chemical and other changes occurring in the sediment, and the ultimate consolidation of the sediment into solid rock."	ترسيب (جيولوجيا)	"فعل أو عملية تكون أو تراكم ترسيبات على هيئة طبقات، بما في ذلك عمليات انفصال الجسيمات الصخرية عن المواد التي تشتق منها الترسيبات وانتقال هذه الجسيمات إلى موقع الترسيب، والترسيب أو الاستقرار الفعلي للجسيمات، والتغيرات الكيميائية وغيرها من التغيرات التي تطرأ على الترسيبات، وتماسك المادة المترسبة في نهاية الأمر بحيث تصبح صخرية صلبة."				
7565	sediment	Any material transported by water which will ultimately settle to the bottom after the water loses its transporting power.	ترسيبات - مواد مترسبة	أي مادة ينقلها الماء لتستقر في نهاية المطاف على القاع بعد أن يفقد الماء قوته الناقلة.				
7566	sediment transport	"The movement and carrying- away of sediment by natural agents; especially the conveyance of a stream load by suspension, saltation, solution or traction."	نقل الترسيبات	"تحريك أو حمل الترسيبات بواسطة عوامل طبيعية بعيدا عن مكانها، وخاصة الحمل خلال مجرى مائي عن طريق التعليق والتقافز والذوبان والجر."				
7567	seed (biology)	"A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa)."	حب - بذر  (أحياء)	بويضة نباتية ناضجة مخصبة تتكون من الجنين ومخزونة من الغذاء محاطا بغطاء بذري واق. 				
7568	seed dressing	A chemical applied before planting to protect seeds and seedlings from disease or insects.	تطهير الحبوب	إضافة مادة كيماوية إلى البذور أو الشتلات قبل زرعها لحمايتها من الأمراض أو الحشرات.				
7571	water seepage	The slow movement of water through small openings and spaces in the surface of unsaturated soil into or out of a body of surface or subsurface water.	انسياب الماء	الحركة البطيئة للماء خلال الفتحات والفراغات الدقيقة في سطح التربة غير المشبعة وصولا إلى جسم مائي من المياه السطحية أو الجوفية أو خروجا منه.				
